timestamp,Irradiance (W/m2),PV1 power(kW),PV2 power(kW),PV3 power(kW),PV4 power(kW),PV1 input current(A),PV1 input voltage(V),PV2 input current(A),PV2 input voltage(V),PV3 input current(A),PV3 input voltage(V),PV4 input current(A),PV4 input voltage(V),Active power(kW),dt,weather_ghi,weather_dni,weather_dhi,weather_temp,weather_cloud,irradiance,actual_power_kw,pv1_power,pv2_power,pv3_power,pv4_power,cloud_cover,ambient_temp,temp_factor,diffuse_ratio,cloud_shading_prob,theoretical_power_kw,hour,minute,dow,tod_sin,tod_cos,irr_lag1,irr_lag2,irr_lag3,irr_lag6,irr_lag12,irr_rollmean_6,irr_rollstd_6,pred_m1,pred_m2,pred_m3,event_type
2026-01-22 07:15:00,8.0,0.093,0.109,0.138,0.11,0.23,402.3,0.27,402.3,0.29,477.5,0.23,477.5,0.45,2026-01-22 07:15:00,1.0,0.0,1.0,24.7,39,8.0,0.45,0.093,0.109,0.138,0.11,39.0,24.7,1.0012,0.999900009999,0.389980501949805,0.12295056384,7,15,3,0.9469301294951056,-0.3214394653031616,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,3.265986323710904,0.474,0.445,0.482,NORMAL
2026-01-22 07:20:00,21.0,0.131,0.16,0.199,0.17,0.31,421.6,0.38,421.6,0.41,485.2,0.35,485.2,0.66,2026-01-22 07:20:00,1.0,0.0,1.0,24.7,39,21.0,0.66,0.131,0.16,0.199,0.17,39.0,24.7,1.0012,0.999900009999,0.389980501949805,0.32274523008,7,20,3,0.9396926207859084,-0.3420201433256687,8.0,0.0,0.0,0.0,0.0,4.833333333333333,8.542052836799048,0.633,0.635,0.62,NORMAL
2026-01-22 07:25:00,29.0,0.158,0.188,0.244,0.209,0.37,426.3,0.44,426.3,0.49,497.2,0.42,497.2,0.799,2026-01-22 07:25:00,1.0,0.0,1.0,24.7,39,29.0,0.799,0.158,0.188,0.244,0.209,39.0,24.7,1.0012,0.999900009999,0.389980501949805,0.44569579392,7,25,3,0.9320078692827986,-0.3624380382837014,21.0,8.0,0.0,0.0,0.0,9.666666666666666,12.53262409340784,0.788,0.715,0.815,NORMAL
2026-01-22 07:30:00,52.0,0.211,0.268,0.333,0.292,0.48,438.6,0.61,438.6,0.65,513.0,0.57,513.0,1.104,2026-01-22 07:30:00,1.0,0.0,1.0,24.7,39,52.0,1.104,0.211,0.268,0.333,0.292,39.0,24.7,1.0012,0.999900009999,0.389980501949805,0.7991786649599999,7,30,3,0.9238795325112868,-0.3826834323650897,29.0,21.0,8.0,0.0,0.0,18.33333333333333,20.165977949672232,1.026,0.991,1.036,NORMAL
2026-01-22 07:35:00,57.0,0.229,0.277,0.357,0.312,0.53,432.3,0.64,432.3,0.71,503.2,0.62,503.2,1.175,2026-01-22 07:35:00,95.0,310.2,45.0,25.7,16,57.0,1.175,0.229,0.277,0.357,0.312,16.0,25.7,0.9972,0.4736837119118822,0.1178946969529505,0.8725228761599999,7,35,3,0.9153114791194472,-0.4027466898587371,52.0,29.0,21.0,0.0,0.0,27.83333333333333,23.02534835060409,1.22,1.129,1.235,NORMAL
2026-01-22 07:40:00,63.0,0.243,0.3,0.392,0.335,0.56,434.4,0.69,434.4,0.76,515.5,0.65,515.5,1.27,2026-01-22 07:40:00,95.0,310.2,45.0,25.7,16,63.0,1.27,0.243,0.3,0.392,0.335,16.0,25.7,0.9972,0.4736837119118822,0.1178946969529505,0.96436738944,7,40,3,0.90630778703665,-0.4226182617406993,57.0,52.0,29.0,0.0,0.0,38.333333333333336,22.141966187912644,1.324,1.232,1.344,NORMAL
2026-01-22 07:45:00,76.0,0.285,0.359,0.464,0.401,0.65,438.3,0.82,438.3,0.89,520.9,0.77,520.9,1.509,2026-01-22 07:45:00,95.0,310.2,45.0,25.7,16,76.0,1.509,0.285,0.359,0.464,0.401,16.0,25.7,0.9972,0.4736837119118822,0.1178946969529505,1.1633638348799995,7,45,3,0.8968727415326884,-0.4422886902190011,63.0,57.0,52.0,8.0,0.0,49.66666666666666,20.877420019405346,1.485,1.491,1.527,NORMAL
2026-01-22 07:50:00,86.0,0.302,0.391,0.495,0.433,0.68,444.3,0.88,444.3,0.95,521.2,0.83,521.2,1.621,2026-01-22 07:50:00,95.0,310.2,45.0,25.7,16,86.0,1.621,0.302,0.391,0.495,0.433,16.0,25.7,0.9972,0.4736837119118822,0.1178946969529505,1.3164380236799995,7,50,3,0.8870108331782218,-0.4617486132350338,76.0,63.0,57.0,21.0,0.0,60.5,19.86705816169069,1.656,1.644,1.551,NORMAL
2026-01-22 07:55:00,91.0,0.311,0.404,0.519,0.447,0.7,444.3,0.91,444.3,1.0,519.4,0.86,519.4,1.681,2026-01-22 07:55:00,95.0,310.2,45.0,25.7,16,91.0,1.681,0.311,0.404,0.519,0.447,16.0,25.7,0.9972,0.4736837119118822,0.1178946969529505,1.39297511808,7,55,3,0.8767267557075078,-0.4809887689193874,86.0,76.0,63.0,29.0,0.0,70.83333333333333,15.94260539142418,1.78,1.697,1.747,NORMAL
2026-01-22 08:00:00,91.0,0.311,0.404,0.52,0.453,0.7,444.3,0.91,444.3,1.01,515.2,0.88,515.2,1.688,2026-01-22 08:00:00,95.0,310.2,45.0,25.7,16,91.0,1.688,0.311,0.404,0.52,0.453,16.0,25.7,0.9972,0.4736837119118822,0.1178946969529505,1.39297511808,8,0,3,0.8660254037844387,-0.4999999999999998,91.0,86.0,76.0,52.0,0.0,77.33333333333333,14.624180888742703,1.826,1.713,1.837,NORMAL
